Player,G,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,TOV%
James Forrest,20,494,95,181,1,2,0.5,94,179,0.53,0.53,59,85,0.69,37,83,120,10,13,5,33,74,250,0.57,13.13
James Gist,246,5806,825,1692,140,424,0.33,685,1268,0.54,0.53,398,608,0.65,393,680,1073,273,220,145,354,606,2188,0.56,15.3
James Nunnally,82,1595,221,452,99,204,0.49,122,248,0.49,0.6,99,109,0.92,38,131,169,125,41,13,82,138,640,0.64,14.09
James Shields,8,192,28,61,1,9,0.11,27,52,0.52,0.47,9,17,0.53,12,23,35,11,5,1,13,37,66,0.48,15.95
James Singleton,7,114,10,21,3,7,0.43,7,14,0.5,0.55,3,3,1.0,6,16,22,1,1,7,5,17,26,0.58,18.3
James Southerland,9,91,5,20,3,13,0.23,2,7,0.29,0.32,3,4,0.75,0,8,8,1,5,7,4,12,16,0.37,15.53
James Thomas,13,355,52,88,0,1,0.0,52,87,0.6,0.59,32,52,0.62,45,83,128,12,19,9,23,51,136,0.61,17.18
James White,55,1372,170,352,35,107,0.33,135,245,0.55,0.53,93,116,0.8,36,182,218,72,39,10,63,121,468,0.58,13.52
Jamie Arnold,47,682,125,233,6,22,0.27,119,211,0.56,0.55,96,119,0.81,59,126,185,22,20,15,48,77,352,0.62,14.4
Jamon Gordon,125,3346,449,1016,54,181,0.3,395,835,0.47,0.47,127,184,0.68,87,328,415,437,220,34,219,312,1079,0.49,16.64
Jamont Gordon,50,1239,189,431,46,149,0.31,143,282,0.51,0.49,102,138,0.77,33,144,177,156,56,24,122,120,526,0.53,19.88
Jan Jagla,48,840,108,267,46,147,0.31,62,120,0.52,0.49,39,51,0.75,65,128,193,21,27,21,49,111,301,0.52,14.48
Jan Mocnik,11,94,4,19,2,16,0.12,2,3,0.67,0.26,2,2,1.0,1,7,8,14,3,0,12,17,12,0.3,37.64
Jan Span,3,29,1,5,1,3,0.33,0,2,0.0,0.3,2,2,1.0,0,1,1,4,1,0,2,5,5,0.43,25.38
Jan Vesely,189,4620,737,1237,26,90,0.29,711,1147,0.62,0.61,381,666,0.55,347,561,908,264,186,126,267,597,1881,0.61,14.86
Janar Talts,13,211,13,46,5,29,0.17,8,17,0.47,0.34,7,11,0.64,10,32,42,6,4,8,10,41,38,0.37,16.44
Janis Blums,53,775,82,213,64,164,0.39,18,49,0.37,0.54,29,39,0.76,4,47,51,45,18,2,38,105,257,0.56,14.17
Janis Strelnieks,131,2788,386,800,175,413,0.42,211,387,0.55,0.59,209,230,0.92,24,205,229,335,85,3,138,237,1156,0.64,13.28
Janis Timma,77,1644,209,469,133,338,0.39,76,131,0.58,0.59,42,60,0.65,49,116,165,99,63,11,97,151,593,0.6,16.37
Jannero Pargo,11,138,14,39,6,21,0.29,8,18,0.44,0.44,4,6,0.67,3,6,9,15,4,0,17,18,38,0.46,28.99
Jared Homan,16,288,32,67,0,1,0.0,32,66,0.48,0.48,10,18,0.56,21,31,52,6,9,9,18,39,74,0.49,19.37
Jasmin Hukic,76,1665,222,554,121,324,0.37,101,230,0.44,0.51,74,100,0.75,53,180,233,79,50,10,86,162,639,0.53,12.57
Jasmin Perkovic,8,192,25,52,4,13,0.31,21,39,0.54,0.52,22,25,0.88,15,18,33,6,6,1,17,24,76,0.6,21.25
Jason Gardner,6,134,13,40,6,26,0.23,7,14,0.5,0.4,8,10,0.83,3,9,12,15,3,0,13,16,40,0.45,22.65
Jason Kapono,8,124,18,44,12,26,0.46,6,18,0.33,0.55,11,12,0.92,0,8,8,8,0,0,7,12,59,0.6,12.44
Jason Williams,6,106,7,26,3,7,0.43,4,19,0.21,0.33,3,6,0.5,7,6,13,4,4,0,8,14,20,0.35,21.83
Jay Larranaga,14,242,24,65,14,39,0.36,10,26,0.38,0.48,9,9,1.0,14,23,37,6,11,2,12,31,71,0.51,14.82
Jaycee Carroll,243,4194,825,1734,389,918,0.42,436,816,0.53,0.59,276,304,0.9,106,288,394,161,81,19,153,392,2315,0.62,7.57
Jayson Granger,148,3498,497,1213,159,458,0.35,338,755,0.45,0.48,211,281,0.74,47,309,356,591,99,11,265,278,1364,0.51,16.55
Je'Kel Foster,34,795,100,257,41,123,0.33,59,134,0.44,0.47,33,46,0.83,15,63,78,68,38,1,55,88,274,0.49,16.55
Jean Canelo,7,81,9,22,1,3,0.33,8,19,0.42,0.43,3,6,0.5,1,5,6,2,3,0,8,7,22,0.45,24.51
Jean Marc Jaumin,5,79,10,15,5,6,0.83,5,9,0.56,0.83,7,7,1.0,1,9,10,10,1,0,9,11,32,0.88,33.23
Jeff Brooks,92,2182,253,499,55,140,0.39,198,359,0.55,0.56,81,107,0.75,143,298,441,97,69,31,73,182,642,0.59,11.79
Jeff Greer,24,588,57,158,24,90,0.27,33,68,0.49,0.44,36,53,0.67,23,55,78,22,18,3,33,29,174,0.48,15.4
Jeff Kent,11,307,26,59,10,28,0.36,16,31,0.52,0.53,7,17,0.41,17,47,64,13,21,4,28,31,69,0.52,29.64
Jeff Nordgaard,24,270,25,79,14,54,0.26,11,25,0.44,0.41,14,17,0.8,11,33,44,8,7,1,8,39,78,0.45,8.47
Jeff Trepagnier,33,922,113,289,42,125,0.34,71,164,0.43,0.46,62,80,0.75,26,83,109,42,76,16,54,70,330,0.51,14.28
Jeff Varem,14,196,20,50,4,9,0.44,16,41,0.39,0.44,12,23,0.52,14,28,42,5,8,1,19,36,56,0.47,24.01
Jeffery Taylor,147,2611,275,583,107,276,0.39,168,307,0.55,0.56,92,138,0.65,102,176,278,148,57,18,89,302,749,0.58,12.15
Jeffrey Viggiano,17,286,35,86,15,47,0.32,20,39,0.51,0.49,10,13,0.74,9,31,40,22,12,7,17,35,95,0.52,15.64
Jemeil Rich,10,335,82,176,17,48,0.35,65,128,0.51,0.51,34,49,0.69,13,16,29,27,37,0,35,30,215,0.54,15.05
Jerel Blassingame,20,496,54,139,26,76,0.34,28,63,0.44,0.48,32,47,0.7,7,35,42,96,14,0,62,67,166,0.52,27.97
Jerel McNeal,15,225,22,52,8,26,0.31,14,26,0.54,0.5,7,11,0.64,10,18,28,17,11,1,16,39,59,0.52,21.97
Jeremiah Massey,65,1773,297,593,18,78,0.23,279,515,0.54,0.52,170,248,0.69,158,255,413,58,86,49,73,134,782,0.56,9.42
Jeremy Evans,48,1128,179,310,29,74,0.39,150,236,0.64,0.62,55,77,0.72,90,162,252,38,30,46,42,88,442,0.64,10.88
Jeremy Leloup,26,515,52,136,20,72,0.28,32,64,0.5,0.46,34,37,0.85,19,33,52,44,21,0,22,75,158,0.52,12.62
Jeremy Nzeulie,10,157,9,29,5,14,0.36,4,15,0.27,0.4,2,3,0.67,4,11,15,8,3,0,6,21,25,0.41,16.52
Jeremy Pargo,87,2151,314,764,81,276,0.29,233,488,0.48,0.46,141,202,0.67,33,178,211,308,44,6,178,185,850,0.5,17.27
Jeremy Richardson,13,254,33,76,12,32,0.38,21,44,0.48,0.51,6,8,0.75,3,28,31,2,3,2,14,19,84,0.53,14.97
Jermaine Jackson,2,71,12,17,1,2,0.5,11,15,0.73,0.74,7,9,0.78,1,3,4,12,6,0,4,5,32,0.76,16.03
Jerod Ward,3,65,16,37,8,16,0.5,8,21,0.38,0.54,7,7,1.0,4,6,10,1,1,1,3,5,47,0.59,6.96
Jerome Allen,12,384,44,101,9,37,0.24,35,64,0.55,0.48,42,54,0.78,8,38,46,42,15,1,19,15,139,0.56,13.22
Jerome Dyson,10,239,36,102,13,45,0.29,23,57,0.4,0.42,17,32,0.53,9,16,25,30,17,1,34,29,102,0.44,22.65
Jerome James,4,75,14,41,0,1,0.0,14,40,0.35,0.34,4,8,0.5,6,10,16,1,2,2,7,18,32,0.36,13.59
Jerome Randle,6,146,19,69,1,16,0.06,18,53,0.34,0.28,4,5,0.8,2,8,10,18,6,0,9,13,43,0.3,11.22
Jerry Hester,5,159,15,55,4,25,0.16,11,30,0.37,0.31,8,12,0.67,4,6,10,9,2,0,8,14,42,0.35,11.72
Jerry McCullough,10,233,29,69,5,18,0.28,24,51,0.47,0.46,31,36,0.86,9,17,26,21,18,0,17,24,94,0.55,16.69
Jerry Smith,4,98,8,27,1,9,0.11,7,18,0.39,0.31,8,10,0.8,3,7,10,7,1,0,8,15,25,0.4,20.3
Jeryl Sasser,3,20,2,7,1,2,0.5,1,5,0.2,0.36,1,2,0.5,2,2,4,2,0,0,0,1,6,0.38,0.0
Jesus Cilla,8,34,0,6,0,1,0.0,0,5,0.0,0.0,2,6,0.33,4,4,8,1,1,0,2,7,2,0.12,18.8
Jesus Lazaro,10,80,8,17,1,7,0.14,7,10,0.7,0.5,6,6,1.0,3,4,7,7,4,0,4,15,23,0.59,16.92
Jim Bilba,18,418,22,51,8,23,0.35,14,28,0.5,0.51,11,18,0.61,27,47,74,19,19,9,16,48,63,0.53,21.36
Jim Potter,12,274,36,88,22,45,0.49,14,43,0.33,0.53,18,24,0.75,10,23,33,7,3,4,7,31,112,0.57,6.63
Jimmer Fredette,27,575,109,230,45,108,0.42,64,122,0.52,0.57,84,88,0.96,10,48,58,48,21,0,36,36,347,0.65,11.81
Jimmy Oliver,14,386,60,133,33,84,0.39,27,49,0.55,0.58,13,15,0.87,7,24,31,13,9,0,12,19,166,0.59,7.92
Jiri Welsch,121,2946,365,827,90,259,0.35,275,568,0.48,0.5,267,376,0.7,97,261,358,204,135,12,218,267,1087,0.55,18.01
Joan Sastre,30,540,54,112,29,57,0.51,25,55,0.45,0.61,19,25,0.75,18,39,57,49,19,8,34,42,156,0.63,21.66
Jobey Thomas,15,377,61,138,30,76,0.39,31,62,0.5,0.55,29,33,0.88,7,15,22,10,10,0,17,39,181,0.59,10.03
Jock Landale,25,514,101,190,19,63,0.3,82,127,0.65,0.58,55,67,0.82,42,67,109,24,12,6,31,76,276,0.63,12.38
Joe Alexander,41,607,83,196,21,51,0.41,62,145,0.43,0.48,43,50,0.85,25,77,102,22,8,24,31,76,230,0.53,12.45
Joe Ingles,95,1785,190,429,74,213,0.35,116,216,0.54,0.53,80,106,0.75,35,171,206,167,59,7,99,137,534,0.56,17.23
Joe Ragland,31,621,92,227,37,106,0.35,55,121,0.45,0.49,35,42,0.84,15,44,59,92,20,2,38,59,256,0.52,13.4
Joel Bolomboy,55,717,82,165,19,53,0.36,63,112,0.56,0.55,38,55,0.67,61,101,162,23,11,19,28,84,221,0.58,12.89
Joel Freeland,43,1020,218,409,11,46,0.24,207,363,0.57,0.55,79,109,0.71,74,188,262,37,18,16,57,101,526,0.58,11.09
Joey Dorsey,14,235,29,48,0,2,0.0,29,46,0.63,0.6,11,27,0.45,32,39,71,10,12,13,28,44,69,0.58,31.86
Joffre Lleal,10,290,36,94,15,40,0.38,21,54,0.39,0.46,28,34,0.82,6,17,23,21,11,2,24,28,115,0.53,18.05
Joffrey Lauvergne,72,1544,250,468,20,70,0.29,230,398,0.58,0.56,97,158,0.62,119,242,361,86,26,17,87,122,617,0.57,13.93
Johan Petro,7,46,7,16,0,1,0.0,7,15,0.47,0.44,1,2,0.5,3,6,9,0,3,1,1,12,15,0.44,5.59
Johannes Strasser,9,80,4,13,3,6,0.5,1,7,0.14,0.42,2,2,1.0,2,2,4,8,1,0,10,10,13,0.47,41.88
Johannes Thiemann,16,228,35,64,7,13,0.54,28,51,0.55,0.6,21,28,0.75,22,28,50,12,5,0,9,33,98,0.64,10.55
Johannes Voigtmann,128,2924,414,790,124,322,0.39,290,468,0.62,0.6,139,198,0.68,186,534,720,241,72,44,144,228,1091,0.62,14.1
John Best,14,449,57,119,21,54,0.39,36,65,0.55,0.57,19,21,0.9,18,41,59,24,18,0,23,48,154,0.6,15.21
John Brown,14,400,92,170,10,18,0.56,82,152,0.54,0.57,20,31,0.64,40,54,94,22,16,6,48,43,214,0.58,20.72
John Bryant,44,901,157,335,14,45,0.31,143,290,0.49,0.49,57,80,0.71,74,197,271,52,25,21,57,132,385,0.52,13.34
John Celestand,20,444,52,133,16,50,0.32,36,83,0.43,0.45,38,49,0.72,4,25,29,75,11,2,44,49,156,0.5,22.16
John Cox,10,187,25,80,11,36,0.31,14,44,0.32,0.38,3,4,0.75,10,11,21,10,4,1,16,13,64,0.39,16.37
John DiBartolomeo,69,820,103,271,62,176,0.35,41,95,0.43,0.49,56,66,0.86,26,70,96,91,37,2,29,127,324,0.54,8.81
John Goldsberry,37,846,52,136,36,97,0.37,16,39,0.41,0.51,10,18,0.71,8,65,73,106,30,0,43,102,150,0.52,23.0
John Jerome,24,569,118,230,15,41,0.37,103,189,0.54,0.55,64,90,0.71,78,68,146,21,18,3,52,87,315,0.58,16.17
John Linehan,10,264,22,63,8,25,0.32,14,38,0.37,0.41,16,21,0.76,4,18,22,40,19,0,20,31,68,0.47,21.68
John McCord,13,243,31,64,1,1,1.0,30,63,0.48,0.49,16,34,0.47,11,25,36,16,4,6,12,16,79,0.5,13.19
John Rillie,6,92,10,31,4,15,0.27,6,16,0.38,0.39,3,3,1.0,4,4,8,0,2,0,5,7,27,0.42,13.4
John White,16,442,63,176,26,79,0.33,37,97,0.38,0.43,39,48,0.82,18,43,61,24,12,2,41,53,191,0.48,17.22
Johnathan Edwards,5,45,6,14,0,2,0.0,6,12,0.5,0.43,2,6,0.33,5,5,10,1,4,1,3,11,14,0.42,15.27
